"Sample","Gene","PDGC","Subpopulation","meanCp","ddCT","foldChange"
"MU011_CD133_neg","BIIITUB","MU011","CD133_neg",32.38,-1.986666665,0.252321200594461
"MU011_CD133_neg","CD133","MU011","CD133_neg",33.485,-8.554166665,0.00266035287321225
"MU011_CD133_neg","GAPDH","MU011","CD133_neg",19.345,0,1
"MU011_CD133_neg","GFAP","MU011","CD133_neg",35.51,-1.354166665,0.391160700053831
"MU011_CD133_neg","NANOG","MU011","CD133_neg",29.155,2.125000005,4.36203094577868
"MU011_CD133_neg","NES","MU011","CD133_neg",31.69,-5.889166665,0.0168726844453461
"MU011_CD133_neg","OCT4","MU011","CD133_neg",28.495,-1.96833333,0.255548082277243
"MU011_CD133_neg","OLIG2","MU011","CD133_neg",39.12,-1.906666665,0.266708061044453
"MU011_CD133_neg","SOX2","MU011","CD133_neg",24.24,-1.906666665,0.266708061044453
"MU011_CD133_pos","BIIITUB","MU011","CD133_pos",31.71,-1.926666665,0.26303621235405
"MU011_CD133_pos","CD133","MU011","CD133_pos",26.945,-2.624166665,0.162198607054551
"MU011_CD133_pos","GAPDH","MU011","CD133_pos",18.735,0,1
"MU011_CD133_pos","GFAP","MU011","CD133_pos",36.275,-2.729166665,0.150813066524292
"MU011_CD133_pos","NANOG","MU011","CD133_pos",28.755,1.915000005,3.77113815674273
"MU011_CD133_pos","NES","MU011","CD133_pos",31.085,-5.894166665,0.0168143093917769
"MU011_CD133_pos","OCT4","MU011","CD133_pos",29.38,-3.46333333,0.0906635630479634
"MU011_CD133_pos","OLIG2","MU011","CD133_pos",38.67,-2.066666665,0.238710401253373
"MU011_CD133_pos","SOX2","MU011","CD133_pos",24.485,-2.761666665,0.147453639292232
"MU020_CD133_neg","BIIITUB","MU020","CD133_neg",30.005,0.380833334999998,1.30209375861468
"MU020_CD133_neg","CD133","MU020","CD133_neg",28.9675,-4.044166665,0.0606156164712821
"MU020_CD133_neg","GAPDH","MU020","CD133_neg",19.3375,0,1
"MU020_CD133_neg","GFAP","MU020","CD133_neg",31.83,2.318333335,4.98755702010625
"MU020_CD133_neg","NANOG","MU020","CD133_neg",30.305,0.967500005000002,1.95544912919754
"MU020_CD133_neg","NES","MU020","CD133_neg",22.34,3.453333335,10.9536010442636
"MU020_CD133_neg","OCT4","MU020","CD133_neg",30.845,-4.32583333,0.0498648378824949
"MU020_CD133_neg","OLIG2","MU020","CD133_neg",25.045,12.160833335,4579.05232342176
"MU020_CD133_neg","SOX2","MU020","CD133_neg",20.06,2.265833335,4.80932137446381
"MU020_CD133_pos","BIIITUB","MU020","CD133_pos",30.63,-0.194166664999997,0.874077638178941
"MU020_CD133_pos","CD133","MU020","CD133_pos",28.0375,-3.064166665,0.11956220673401
"MU020_CD133_pos","GAPDH","MU020","CD133_pos",19.3875,0,1
"MU020_CD133_pos","GFAP","MU020","CD133_pos",35.37,-1.17166666499999,0.443908221877117
"MU020_CD133_pos","NANOG","MU020","CD133_pos",32.085,-0.762499994999995,0.589473966659369
"MU020_CD133_pos","NES","MU020","CD133_pos",23.25,2.593333335,6.03491451397276
"MU020_CD133_pos","OCT4","MU020","CD133_pos",31.29,-4.72083332999999,0.0379216794765412
"MU020_CD133_pos","OLIG2","MU020","CD133_pos",23.885,13.370833335,10593.071431972
"MU020_CD133_pos","SOX2","MU020","CD133_pos",20.035,2.340833335,5.06595174524494
"MU030_CD133_neg","BIIITUB","MU030","CD133_neg",28.7,-0.691666665,0.619138180903977
"MU030_CD133_neg","CD133","MU030","CD133_neg",25.15,-2.604166665,0.1644628152317
"MU030_CD133_neg","GAPDH","MU030","CD133_neg",16.96,0,1
"MU030_CD133_neg","NANOG","MU030","CD133_neg",29.665,-0.769999994999996,0.586417476648309
"MU030_CD133_neg","NES","MU030","CD133_neg",20.625,2.790833335,6.92029402277977
"MU030_CD133_neg","OLIG2","MU030","CD133_neg",22.48,12.348333335,5214.57274386893
"MU030_CD133_neg","SOX2","MU030","CD133_neg",18.935,1.013333335,2.01856960475569
"MU030_CD133_pos","BIIITUB","MU030","CD133_pos",29.59,-1.926666665,0.26303621235405
"MU030_CD133_pos","CD133","MU030","CD133_pos",22.785,-0.584166665000001,0.667034522308551
"MU030_CD133_pos","GAPDH","MU030","CD133_pos",16.615,0,1
"MU030_CD133_pos","NANOG","MU030","CD133_pos",30.565,-2.014999995,0.247414164961274
"MU030_CD133_pos","NES","MU030","CD133_pos",20.995,2.075833335,4.21587863250247
"MU030_CD133_pos","OLIG2","MU030","CD133_pos",22.705,11.778333335,3512.62374477444
"MU030_CD133_pos","SOX2","MU030","CD133_pos",19.11,0.493333334999999,1.40769358566022
"MU030a_CD133_neg","BIIITUB","MU030a","CD133_neg",30.39,0.560833334999998,1.47512103627881
"MU030a_CD133_neg","CD133","MU030a","CD133_neg",30.3775,-4.889166665,0.0337453688906922
"MU030a_CD133_neg","GAPDH","MU030a","CD133_neg",19.9025,0,1
"MU030a_CD133_neg","GFAP","MU030a","CD133_neg",29.9375,4.775833335,27.3948601759775
"MU030a_CD133_neg","NANOG","MU030a","CD133_neg",33.9,-2.062499995,0.239400821004344
"MU030a_CD133_neg","NES","MU030a","CD133_neg",31.585,-5.226666665,0.0267064742266306
"MU030a_CD133_neg","OCT4","MU030a","CD133_neg",32.39,-5.30583333,0.0252804625395743
"MU030a_CD133_neg","OLIG2","MU030a","CD133_neg",39.155,-1.384166665,0.383110729251032
"MU030a_CD133_neg","SOX2","MU030a","CD133_neg",24.7,-1.809166665,0.285355709622884
"MU030a_CD133_pos","BIIITUB","MU030a","CD133_pos",35.675,-2.936666665,0.130609644258495
"MU030a_CD133_pos","CD133","MU030a","CD133_pos",29.8875,-2.611666665,0.163610056703964
"MU030a_CD133_pos","GAPDH","MU030a","CD133_pos",21.69,0,1
"MU030a_CD133_pos","GFAP","MU030a","CD133_pos",33.63,2.870833335,7.31487562806728
"MU030a_CD133_pos","NANOG","MU030a","CD133_pos",33.74,-0.114999995000002,0.923382313929593
"MU030a_CD133_pos","NES","MU030a","CD133_pos",36.48,-8.334166665,0.00309860234328817
"MU030a_CD133_pos","OCT4","MU030a","CD133_pos",33.4675,-4.59583333,0.0413538847048214
"MU030a_CD133_pos","OLIG2","MU030a","CD133_pos",40,-0.441666665000003,0.736283529900849
"MU030a_CD133_pos","SOX2","MU030a","CD133_pos",27.4,-2.721666665,0.1515991253471
"MU035_CD133_neg","BIIITUB","MU035","CD133_neg",34.415,-3.251666665,0.104990691937802
"MU035_CD133_neg","CD133","MU035","CD133_neg",29.92,-4.219166665,0.0536913442206277
"MU035_CD133_neg","GAPDH","MU035","CD133_neg",20.115,0,1
"MU035_CD133_neg","GFAP","MU035","CD133_neg",27.955,6.970833335,125.438233278657
"MU035_CD133_neg","NANOG","MU035","CD133_neg",31.295,0.755000004999999,1.68763159810892
"MU035_CD133_neg","NES","MU035","CD133_neg",28.64,-2.069166665,0.23829710584598
"MU035_CD133_neg","OCT4","MU035","CD133_neg",30.2,-2.90333333,0.133662500131543
"MU035_CD133_neg","OLIG2","MU035","CD133_neg",34.26,3.723333335,13.2079378805748
"MU035_CD133_neg","SOX2","MU035","CD133_neg",23.765,-0.661666665000002,0.632147590191253
"MU035_CD133_pos","BIIITUB","MU035","CD133_pos",34.16,-4.531666665,0.0432346953883403
"MU035_CD133_pos","CD133","MU035","CD133_pos",27.28,-3.114166665,0.115489479050803
"MU035_CD133_pos","GAPDH","MU035","CD133_pos",18.58,0,1
"MU035_CD133_pos","GFAP","MU035","CD133_pos",29.66,3.730833335,13.2767795024674
"MU035_CD133_pos","NANOG","MU035","CD133_pos",29.465,1.050000005,2.07052985485867
"MU035_CD133_pos","NES","MU035","CD133_pos",29.71,-4.674166665,0.039168381763749
"MU035_CD133_pos","OCT4","MU035","CD133_pos",28.99,-3.22833333,0.106702558171407
"MU035_CD133_pos","OLIG2","MU035","CD133_pos",35.77,0.678333334999994,1.600289961294
"MU035_CD133_pos","SOX2","MU035","CD133_pos",23.495,-1.926666665,0.26303621235405
"MU041_CD133_neg","BIIITUB","MU041","CD133_neg",33.05,1.010833335,2.01507471914212
"MU041_CD133_neg","CD133","MU041","CD133_neg",36.77,-8.171666665,0.00346803298341495
"MU041_CD133_neg","GAPDH","MU041","CD133_neg",23.0125,0,1
"MU041_CD133_neg","GFAP","MU041","CD133_neg",30.27,7.553333335,187.836462695226
"MU041_CD133_neg","NANOG","MU041","CD133_neg",30.115,4.832500005,28.4922965293425
"MU041_CD133_neg","NES","MU041","CD133_neg",32.51,-3.041666665,0.121441492784496
"MU041_CD133_neg","OCT4","MU041","CD133_neg",27.93,2.26416667,4.80376864209956
"MU041_CD133_neg","OLIG2","MU041","CD133_neg",40,0.880833334999998,1.84143865291425
"MU041_CD133_neg","SOX2","MU041","CD133_neg",26.09,-0.0891666650000005,0.940065596685683
"MU041_CD133_pos","BIIITUB","MU041","CD133_pos",31.965,-0.306666665000002,0.808507653093886
"MU041_CD133_pos","CD133","MU041","CD133_pos",30.67,-4.474166665,0.0449926556999144
"MU041_CD133_pos","GAPDH","MU041","CD133_pos",20.61,0,1
"MU041_CD133_pos","GFAP","MU041","CD133_pos",30.465,4.955833335,31.0351956332965
"MU041_CD133_pos","NANOG","MU041","CD133_pos",33.4,-0.854999994999996,0.552865328576221
"MU041_CD133_pos","NES","MU041","CD133_pos",33.45,-6.384166665,0.0119722102890948
"MU041_CD133_pos","OCT4","MU041","CD133_pos",30.79,-2.99833333,0.125144489395873
"MU041_CD133_pos","OLIG2","MU041","CD133_pos",39.385,-0.906666664999999,0.533416122088905
"MU041_CD133_pos","SOX2","MU041","CD133_pos",25.335,-1.736666665,0.300062167012962
"H9_ES_ES_cell","CD133","H9_ES","ES_cell",25.61,-1.084166665,0.471664634009907
"H9_ES_ES_cell","FUT4","H9_ES","ES_cell",28.44,4.543333335,23.3173726840084
"H9_ES_ES_cell","GAPDH","H9_ES","ES_cell",18.94,0,1
"H9_ES_ES_cell","GFAP","H9_ES","ES_cell",36.58,-2.829166665,0.140713566622
"H9_ES_ES_cell","ID1","H9_ES","ES_cell",22.96,3.125000005,8.72406189155736
"H9_ES_ES_cell","NANOG","H9_ES","ES_cell",23.99,6.88500000500001,118.192936182988
"H9_ES_ES_cell","NES","H9_ES","ES_cell",28.52,-3.124166665,0.114691734947285
"H9_ES_ES_cell","NOTCH1","H9_ES","ES_cell",26.78,-2.978333335,0.126891440926656
"H9_ES_ES_cell","OCT4","H9_ES","ES_cell",22.7,3.42166667,10.7157926843122
"H9_ES_ES_cell","OLIG2","H9_ES","ES_cell",36.27,0.538333334999997,1.45229379393606
"MU041_Serum","BIIITUB","MU041","Serum",30.81,-1.076666665,0.474123016134977
"MU041_Serum","CD133","MU041","Serum",27.215,-2.944166665,0.129932418298396
"MU041_Serum","GAPDH","MU041","Serum",18.685,0,1
"MU041_Serum","GFAP","MU041","Serum",23.7,9.795833335,888.872901534551
"MU041_Serum","NES","MU041","Serum",28.13,-2.989166665,0.125942169946383
"MU041_Serum","OCT4","MU041","Serum",22.755,3.11166667,8.64380586233314
"MU041_Serum","OLIG2","MU041","Serum",40,-3.446666665,0.0917170228004029
"MU041_Serum","SOX2","MU041","Serum",25.4,-3.726666665,0.0755373161089371
